grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
2792500,2,92,TUYN GOL,BAYANKHONGAR,MN,46.13,100.68,2552,-999,1978,1981,4,0.06844627,1978,1981,4,0,1978,1981,4,4.378,4.378,4.378
6731370,6,31,TVEIDALSBEKKEN,TVEITDALEN,NO,58.38541,8.24237,0.4,190,1972,2014,43,0,,,,,1972,2014,43,0.015,0.015,0.015
6731755,6,31,TVERRELVA,BARDUJORD,NO,68.41,15.71,67.2,18,1961,1990,30,0,,,,,1961,1990,30,3.219,3.219,3.219
1666130,1,66,"TWALOR, KHOR",AT THE MOUTH,SS,8.55,32.95,-999,-999,,,,,1934,1947,14,61.25,1934,1947,14,n.a.,n.a.,n.a.
5202020,5,2,TWEED RIVER,UKI,AU,-28.4132,153.3343,275,52.3,1967,2008,42,23.99515249,1967,2001,35,27.07317073,1967,2008,42,4.269,4.269,4.269
6604690,6,4,"TWEED, RIVER",BOLESIDE,GB,55.59141728,-2.797700073,1500,94.5,1961,2018,58,0.019213219,1977,1997,21,23.80952381,1961,2018,58,37.537,37.537,37.537
6604750,6,4,"TWEED, RIVER",NORHAM,GB,55.72268907,-2.163373133,4390,4.3,1962,2018,57,0,1980,1984,5,0,1962,2018,57,81.615,81.615,81.615
4236050,4,36,TWENTY MILE CREEK,BALLS  FALLS,CA,43.133888,-79.383331,293,-999,1957,2018,62,0.332328961,1957,1996,40,0,1957,2018,62,3.044,3.044,3.044
4208135,4,8,TWITYA RIVER,NEAR THE MOUTH,CA,64.160553,-128.29916,5590,-999,1980,1990,11,0,1980,1990,11,0,1980,1990,11,61.826,61.826,61.826
2903493,2,3,TYANYA,TYANYA,RU,59.0578,119.7878,3960,-999,,,,,1973,1994,22,4.545454545,1973,1994,22,22.875,22.875,22.875
2910345,2,10,TYAZHIN,RUBINO,RU,56.37,88.17,1800,-999,,,,,1945,1998,54,9.259259259,1945,1998,54,8.345,8.345,8.345
2910346,2,10,TYAZHIN,STARYY TYAZHIN,RU,56.15,88.57,693,-999,,,,,1965,1991,27,4.458598726,1965,1991,27,3.106,3.106,3.106
4123330,4,23,TYGART VALLEY RIVER,"PHILIPPI, WV",US,39.1504,-80.0387,2367.3,390.31,1940,2018,79,0,,,,,1940,2018,79,54.794,54.794,54.794
4123331,4,23,TYGART VALLEY RIVER,"BELINGTON, WV",US,39.0293,-79.9359,1051.5,511.91,1907,2019,113,0.002441943,,,,,1907,2019,113,23.458,23.458,23.458
2910200,2,10,TYM,NAPAS,RU,59.85,81.95,24500,60.6,,,,,1937,2000,64,4.6875,1937,2000,64,191.633,191.633,191.633
2910201,2,10,TYM,VANYIL-KYNAK,RU,60.35,84.08,10100,-999,,,,,1954,2000,47,10.28368794,1954,2000,47,80.486,80.486,80.486
2904200,2,4,TYM',ADO-TYMOVO,RU,51.26,142.71,3420,52,1978,1987,10,0,1965,1987,23,0,1965,1987,23,55.327,55.327,55.327
6605300,6,5,"TYNE, RIVER",BYWELL,GB,54.94993675,-1.941296565,2175.6,14,1956,2018,63,0.86553323,1956,1993,38,1.351351351,1956,2018,63,45.23,45.23,45.23
2903343,2,3,TYPTA,DALNEZAKORA,RU,54.65,104.73,1420,-999,,,,,1964,1990,27,0,1964,1990,27,4.393,4.393,4.393
2903030,2,3,TYRY,NEZHDANINSKOYE,RU,62.52,139.15,2090,-999,,,,,1969,1988,20,5.833333333,1969,1988,20,18.181,18.181,18.181
6731835,6,31,TYSVAR,TYSVAER,NO,59.32949,5.44324,3.3,10,1974,2015,42,1.133106712,,,,,1974,2015,42,0.138,0.138,0.138
2910362,2,10,TYUKHTET,TYUKHTET,RU,56.53,89.32,798,-999,,,,,1960,1998,39,10.38961039,1960,1998,39,2.562,2.562,2.562
1160620,1,60,TYUME,GOUMAHASHE LOC. (27672401),ZA,-32.759444,26.854722,238,521,1928,1980,53,8.107825724,,,,,1928,1980,53,0.696,0.696,0.696
1160621,1,60,TYUME,KWA KHAYALETU (27672414),ZA,-32.64,26.935833,71,702,1953,2018,66,0.64858984,,,,,1953,2018,66,0.576,0.576,0.576
2903710,2,3,TYUNG,UGULYATSY,RU,64.58,120.03,37000,-999,,,,,1959,1996,38,24.78070175,1959,1996,38,153.314,153.314,153.314
2311345,2,11,TYUNTYUGUR,KARAGANDINSKOJE (KM 376),KZ,52.13,65.7,877,-999,,,,,1958,1987,30,79.55182073,1958,1987,30,1.11,1.11,1.11
2415800,2,15,TYUP,SARYTOLOGOI,KG,42.73,78.75,513,45,1978,1987,10,0,1978,1987,10,0,1978,1987,10,7.725,7.725,7.725
2907915,2,7,TYUYA,TYUYA,RU,55.75,109.3,2380,-999,,,,,1975,1997,23,0,1975,1997,23,38.778,38.778,38.778
6608210,6,8,"TYWI, AFON",NANTGAREDIG,GB,51.86314139,-4.201463956,1090.4,7.8,1958,2018,61,0.073009354,,,,,1958,2018,61,39.971,39.971,39.971
4362130,4,62,"TZIMBAC, RIO",TZIMBAC,MX,17.2833,-93.5292,200,98,1960,1986,27,1.611059141,,,,,1960,1986,27,15.165,15.165,15.165
3628400,3,28,"UATUMA, RIO",CACHOEIRA MORENA,BR,-2.1089,-59.3353,20394,-999,1973,2010,38,6.747112059,,,,,1973,2010,38,649.008,649.008,649.008
3628401,3,28,"UATUMA, RIO",BALBINA P-8 (UHE BALBINA),BR,-1.9381,-59.4833,19126,-999,1977,1996,20,17.41176471,,,,,1977,1996,20,490.23,490.23,490.23
3618950,3,18,"UAUPES, RIO",UARACU,BR,0.4769,-69.1281,40506,-999,1977,2010,34,0.252801888,1978,1992,15,0,1977,2010,34,2432.02,2432.02,2432.02
3618951,3,18,"UAUPES, RIO",TARAQUA,BR,0.1303,-68.5386,44732,-999,1977,2010,34,0.439360027,,,,,1977,2010,34,2750.635,2750.635,2750.635
